time_0,x_0,y_0,time_1,x_1,y_1,time_2,x_2,y_2,time_3,x_3,y_3,time_4,x_4,y_4,time_5,x_5,y_5,time_6,x_6,y_6
1.370000000000000000e+02,6.925000000000000044e-01,2.275000000000000078e-01,1.370000000000000000e+02,3.325000000000000178e-01,3.175000000000000044e-01,1.370000000000000000e+02,3.825000000000000067e-01,3.674999999999999933e-01,1.370000000000000000e+02,6.875000000000000000e-01,6.624999999999999778e-01,1.370000000000000000e+02,3.125000000000000000e-01,7.499999999999999722e-03,1.370000000000000000e+02,6.424999999999999600e-01,6.274999999999999467e-01,1.370000000000000000e+02,2.924999999999999822e-01,2.775000000000000244e-01
1.380000000000000000e+02,6.975000000000000089e-01,2.275000000000000078e-01,1.380000000000000000e+02,3.275000000000000133e-01,3.175000000000000044e-01,1.380000000000000000e+02,3.825000000000000067e-01,3.724999999999999978e-01,1.380000000000000000e+02,6.925000000000000044e-01,6.624999999999999778e-01,1.380000000000000000e+02,3.074999999999999956e-01,7.499999999999999722e-03,1.380000000000000000e+02,6.424999999999999600e-01,6.324999999999999512e-01,1.380000000000000000e+02,2.924999999999999822e-01,2.824999999999999734e-01
1.390000000000000000e+02,7.025000000000000133e-01,2.275000000000000078e-01,1.390000000000000000e+02,3.225000000000000089e-01,3.175000000000000044e-01,1.390000000000000000e+02,3.825000000000000067e-01,3.775000000000000022e-01,1.390000000000000000e+02,6.975000000000000089e-01,6.624999999999999778e-01,1.390000000000000000e+02,3.024999999999999911e-01,7.499999999999999722e-03,1.390000000000000000e+02,6.424999999999999600e-01,6.374999999999999556e-01,1.390000000000000000e+02,2.924999999999999822e-01,2.874999999999999778e-01
1.400000000000000000e+02,7.075000000000000178e-01,2.275000000000000078e-01,1.400000000000000000e+02,3.175000000000000044e-01,3.175000000000000044e-01,1.400000000000000000e+02,3.825000000000000067e-01,3.825000000000000067e-01,1.400000000000000000e+02,7.025000000000000133e-01,6.624999999999999778e-01,1.400000000000000000e+02,2.974999999999999867e-01,7.499999999999999722e-03,1.400000000000000000e+02,6.424999999999999600e-01,6.424999999999999600e-01,1.400000000000000000e+02,2.924999999999999822e-01,2.924999999999999822e-01
1.410000000000000000e+02,7.125000000000000222e-01,2.275000000000000078e-01,1.410000000000000000e+02,3.125000000000000000e-01,3.175000000000000044e-01,1.410000000000000000e+02,3.825000000000000067e-01,3.875000000000000111e-01,1.410000000000000000e+02,7.075000000000000178e-01,6.624999999999999778e-01,1.410000000000000000e+02,2.924999999999999822e-01,7.499999999999999722e-03,1.410000000000000000e+02,6.424999999999999600e-01,6.474999999999999645e-01,1.410000000000000000e+02,2.924999999999999822e-01,2.974999999999999867e-01
1.420000000000000000e+02,7.175000000000000266e-01,2.275000000000000078e-01,1.420000000000000000e+02,3.125000000000000000e-01,3.225000000000000089e-01,1.420000000000000000e+02,3.775000000000000022e-01,3.875000000000000111e-01,1.420000000000000000e+02,7.125000000000000222e-01,6.624999999999999778e-01,1.420000000000000000e+02,2.874999999999999778e-01,7.499999999999999722e-03,1.420000000000000000e+02,6.424999999999999600e-01,6.524999999999999689e-01,1.420000000000000000e+02,2.924999999999999822e-01,3.024999999999999911e-01
1.430000000000000000e+02,7.175000000000000266e-01,2.325000000000000122e-01,1.430000000000000000e+02,3.074999999999999956e-01,3.225000000000000089e-01,1.430000000000000000e+02,3.724999999999999978e-01,3.875000000000000111e-01,1.430000000000000000e+02,7.175000000000000266e-01,6.624999999999999778e-01,1.430000000000000000e+02,2.824999999999999734e-01,7.499999999999999722e-03,1.430000000000000000e+02,6.424999999999999600e-01,6.574999999999999734e-01,1.430000000000000000e+02,2.924999999999999822e-01,3.074999999999999956e-01
1.440000000000000000e+02,7.225000000000000311e-01,2.325000000000000122e-01,1.440000000000000000e+02,3.024999999999999911e-01,3.225000000000000089e-01,1.440000000000000000e+02,3.674999999999999933e-01,3.875000000000000111e-01,1.440000000000000000e+02,7.225000000000000311e-01,6.624999999999999778e-01,1.440000000000000000e+02,2.824999999999999734e-01,1.250000000000000069e-02,1.440000000000000000e+02,6.424999999999999600e-01,6.624999999999999778e-01,1.440000000000000000e+02,2.924999999999999822e-01,3.125000000000000000e-01
1.450000000000000000e+02,7.275000000000000355e-01,2.325000000000000122e-01,1.450000000000000000e+02,2.974999999999999867e-01,3.225000000000000089e-01,1.450000000000000000e+02,3.624999999999999889e-01,3.875000000000000111e-01,1.450000000000000000e+02,7.275000000000000355e-01,6.624999999999999778e-01,1.450000000000000000e+02,2.824999999999999734e-01,1.750000000000000167e-02,1.450000000000000000e+02,6.424999999999999600e-01,6.674999999999999822e-01,1.450000000000000000e+02,2.924999999999999822e-01,3.175000000000000044e-01
1.460000000000000000e+02,7.325000000000000400e-01,2.325000000000000122e-01,1.460000000000000000e+02,2.924999999999999822e-01,3.225000000000000089e-01,1.460000000000000000e+02,3.574999999999999845e-01,3.875000000000000111e-01,1.460000000000000000e+02,7.325000000000000400e-01,6.624999999999999778e-01,1.460000000000000000e+02,2.824999999999999734e-01,2.249999999999999917e-02,1.460000000000000000e+02,6.424999999999999600e-01,6.724999999999999867e-01,1.460000000000000000e+02,2.924999999999999822e-01,3.225000000000000089e-01
